IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
221.163.106.93,50003,true,ICN,亚太,KR,韩国,首尔,91 ms,5.43
211.226.15.137,50011,true,ICN,亚太,KR,韩国,首尔,108 ms,5.43
183.96.245.165,50001,true,ICN,亚太,KR,韩国,首尔,90 ms,5.38
183.96.50.164,10443,true,LAX,北美洲,US,美国,洛杉矶,225 ms,5.32
119.201.52.177,20332,true,LAX,北美洲,US,美国,洛杉矶,214 ms,5.30
222.102.118.9,10065,true,LAX,北美洲,US,美国,洛杉矶,258 ms,5.27
111.91.187.73,50005,true,ICN,亚太,KR,韩国,首尔,104 ms,5.22
59.10.2.83,18080,true,KIX,亚太,JP,日本,大阪,304 ms,5.20
118.41.50.223,10001,true,LAX,北美洲,US,美国,洛杉矶,217 ms,5.18
183.105.99.178,50004,true,ICN,亚太,KR,韩国,首尔,131 ms,5.13
220.121.70.46,10443,true,LAX,北美洲,US,美国,洛杉矶,235 ms,5.12
59.16.86.41,20201,true,LAX,北美洲,US,美国,洛杉矶,212 ms,5.11
64.110.103.142,587,true,KIX,亚太,JP,日本,大阪,188 ms,5.09
115.22.172.2,12192,true,LAX,北美洲,US,美国,洛杉矶,210 ms,5.06
118.35.91.58,21235,true,FUK,亚太,JP,日本,福冈,85 ms,5.00
